cell_id,mouse_id,exclusion,notes,abf_folder,free_run_file,hyperpol_file,small_steps_file,ramp_file,sagIh_file,SK_VC_file,SK_VC_apamin_file,small_steps_apamin_file,ramp_apamin_file,hyperpol_apamin_file,sagIh_apamin_file
20260724_cell1_JMT,20260724_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07242026,2026_07_24_0000.abf,2026_07_24_0001.abf,2026_07_24_0002.abf,2026_07_24_0003.abf,2026_07_24_0004.abf,"[2026_07_24_0005.abf, 2026_07_24_0006.abf, 2026_07_24_0007.abf] ","[2026_07_24_0015.abf, 2026_07_24_0016.abf] ",2026_07_24_0013.abf,2026_07_24_0014.abf,2026_07_24_0012.abf,
20260724_cell2_JMT,20260724_SNI_M1,,no APs w/ steps or ramps,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07242026,2026_07_24_0017.abf,2026_07_24_0018.abf,2026_07_24_0019.abf,2026_07_24_0020.abf,2026_07_24_0021.abf,"[2026_07_24_0022.abf, 2026_07_24_0023.abf] ","[2026_07_24_0026.abf, 2026_07_24_0027.abf] ",2026_07_24_0029.abf,2026_07_24_0030.abf,2026_07_24_0028.abf,
20260724_cell3_JMT,20260724_SNI_M2,,high access,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07242026,2026_07_24_0033.abf,2026_07_24_0034.abf,2026_07_24_0035.abf,,,,,,,,
20260724_cell4_JMT,20260724_naive_F1,,spikelets,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07242026,2026_07_24_0047.abf,2026_07_24_0048.abf,2026_07_24_0049.abf,2026_07_24_0050.abf,2026_07_24_0051.abf,"[2026_07_24_0053.abf, 2026_07_24_0054.abf] ","[2026_07_24_0061.abf, 2026_07_24_0062.abf] ",,,,
20260724_cell5_JMT,20260724_naive_F1,sag,high access,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07242026,2026_07_24_0064.abf,2026_07_24_0065.abf,2026_07_24_0066.abf,,2026_07_24_0068.abf,,,,,,
20260724_cell6_JMT,20260724_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07242026,2026_07_24_0069.abf,2026_07_24_0070.abf,2026_07_24_0071.abf,2026_07_24_0072.abf,2026_07_24_0073.abf,[2026_07_24_0075.abf],"[2026_07_24_0083.abf, 2026_07_24_0084.abf]",2026_07_24_0081.abf,2026_07_24_0082.abf,2026_07_24_0080.abf,
20260813_cell1_RDG,20260813_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08132026,RDG_2026_08_13_0000.abf,RDG_2026_08_13_0001.abf,RDG_2026_08_13_0005.abf,RDG_2026_08_13_0003.abf,RDG_2026_08_13_0004.abf,,,,,,
20260814_cell1_MC,20260814_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\260814_1MC_(naive),MC_2026_08_14_0000.abf,MC_2026_08_14_0001.abf,MC_2026_08_14_0002.abf,MC_2026_08_14_0004.abf,MC_2026_08_14_0003.abf,,,MC_2026_08_14_0011.abf,,,
20260814_cell2_MC,20260814_SNI_M1,,ramp depolarized,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\260814_2MC_(SNI_NoApamin),MC_2026_08_14_0013.abf,MC_2026_08_14_0017.abf,MC_2026_08_14_0014.abf,MC_2026_08_14_0015.abf,MC_2026_08_14_0016.abf,,,,,,
20260814_cell3_MC,20260814_SNI_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\08142026\260814_3MC_(SNI),MC_2026_08_14_0022.abf,,,,,,,,,,
